food_name,cal_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,sugar_per_100g,fiber_per_100g,sodium_per_100g,satfat_per_100g,matched
can can no-salt-added,105.0,4.8,0.4,20.5,7.78,5.5,1.0,0.103,yes
can can no-salt-added black beans,105.0,4.8,0.4,20.5,7.78,5.5,1.0,0.103,yes
can can no-salt-added chickpeas,105.0,4.8,0.4,20.5,7.78,5.5,1.0,0.103,yes
can can no-salt-added fire-roasted tomato,17.0,0.85,0.29,3.53,2.58,0.4,253.0,0.019,yes
can can no-salt-added kidney beans,105.0,4.8,0.4,20.5,7.78,5.5,1.0,0.103,yes
can can no-salt-added pinto beans,105.0,4.8,0.4,20.5,7.78,5.5,1.0,0.103,yes
can can no-salt-added tomato,17.0,0.85,0.29,3.53,2.58,0.4,253.0,0.019,yes
can can no-salt-added tomato paste,17.0,0.85,0.29,3.53,2.58,0.4,253.0,0.019,yes
can can no-salt-added tomato sauce,24.0,1.2,0.3,5.31,3.56,1.5,11.0,0.041,yes
can can no-salt-added whole tomato,17.0,0.85,0.29,3.53,2.58,0.4,253.0,0.019,yes
can can organic black beans,91.0,4.83,1.32,15.4,2.49,6.8,970.0,0.34,yes
can can organic crushed tomato,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can can organic white beans,114.0,7.26,0.29,21.2,0.29,4.8,340.0,0.074,yes
can can pinto beans,114.0,6.99,0.9,20.2,0.54,5.5,239.0,0.158,yes
can can plum tomato,89.0,0.44,0.14,23.1,21.6,1.5,19.0,0.011,yes
can can plus unsweetened pumpkin,34.0,1.1,0.28,8.09,3.3,2.9,241.0,0.146,yes
can can pumpkin,34.0,1.1,0.28,8.09,3.3,2.9,241.0,0.146,yes
can can red kidney beans,124.0,7.98,1.05,21.5,3.8,5.5,231.0,0.181,yes
can can solid white tuna in water,128.0,23.6,2.97,0.0,0.0,0.0,377.0,0.792,yes
can can tomato,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can can tomato paste,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can can tomato sauce,24.0,1.2,0.3,5.31,3.56,1.5,474.0,0.041,yes
can can tomatoand green chiles,21.0,0.72,0.27,4.6,0.0,1.7,397.0,0.028,yes
can can tomatoes with basil,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can can tomatowith jalape o,23.0,2.36,0.86,4.89,0.41,3.2,2350.0,0.233,yes
can can tomatowith mild green chiles,21.0,0.72,0.27,4.6,0.0,1.7,397.0,0.028,yes
can can unsalted black beans,91.0,4.83,1.32,15.4,2.49,6.8,970.0,0.34,yes
can can unsalted cannellini beans,103.0,6.12,3.76,13.2,1.65,3.3,423.0,1.13,yes
can can unsalted chickpeas,23.0,2.36,0.86,4.89,0.41,3.2,2350.0,0.233,yes
can can unsalted fire-roasted tomato,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can can unsalted great northern beans,114.0,7.37,0.39,21.0,1.41,4.9,370.0,0.12,yes
can can unsalted kidney beans,84.0,5.22,0.6,14.5,1.85,4.3,296.0,0.141,yes
can can unsalted pinto beans,114.0,6.99,0.9,20.2,0.54,5.5,239.0,0.158,yes
can can unsalted red kidney beans,124.0,7.98,1.05,21.5,3.8,5.5,231.0,0.181,yes
can can unsalted tomato,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can can unsalted tomato sauce,24.0,1.2,0.3,5.31,3.56,1.5,474.0,0.041,yes
can can unsweetened pumpkin,34.0,1.1,0.28,8.09,3.3,2.9,241.0,0.146,yes
can can vegetable broth,66.0,2.42,1.56,10.7,1.64,1.3,515.0,0.36,yes
can can water chestnut,23.0,2.36,0.86,4.89,0.41,3.2,2350.0,0.233,yes
can can white hominy,72.0,1.48,0.88,14.3,1.51,2.5,267.0,0.123,yes
can can whole plum tomato,89.0,0.44,0.14,23.1,21.6,1.5,19.0,0.011,yes
can can whole tomato,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can cannellini beans,103.0,6.12,3.76,13.2,1.65,3.3,423.0,1.13,yes
can cannellini beans or other white beans,114.0,7.26,0.29,21.2,0.29,4.8,340.0,0.074,yes
can cannellini beansor other white beans,114.0,7.26,0.29,21.2,0.29,4.8,340.0,0.074,yes
can chick peas,51.0,2.0,1.06,9.7,4.2,3.1,148.0,0.18,yes
can chickpeas,139.0,7.05,2.77,22.5,4.01,6.4,246.0,0.214,yes
can chickpeasdrained--save the chickpea water for a aquafaba whip or as an egg substitute for baking,444.0,55.5,13.0,21.8,21.8,0.0,800.0,3.77,yes
can chipotle chiles in adobo sauce,159.0,0.9,0.15,40.4,31.8,1.1,5.0,0.007,yes
can coconut milk,357.0,1.17,16.3,53.2,51.5,0.2,36.0,15.5,yes
can condensed reduced-fat,65.0,1.61,0.56,13.4,8.11,1.2,22.0,0.155,yes
can condensed reduced-sodium,65.0,1.61,0.56,13.4,8.11,1.2,22.0,0.155,yes
can cranberry juice concentrate,201.0,0.05,0.0,51.4,42.5,0.2,4.0,0.0,yes
can crushed,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can crushed pineapple,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can crushed pineapplein juice,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can crushed tomato,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can crushed tomatoes,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can crushed tomatoin puree,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can evaporated whole milk,134.0,6.81,7.56,10.0,0.0,0.0,106.0,4.59,yes
can fat-free,79.0,5.34,0.45,13.5,0.61,4.7,350.0,0.093,yes
can fat-free sweetened condensed milk,321.0,7.91,8.7,54.4,54.4,0.0,127.0,5.49,yes
can fire-roasted tomato,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can fire-roasted tomatoes,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can fire-roasted tomatowith chipotles,167.0,20.9,8.43,0.49,0.0,0.0,1070.0,2.81,yes
can garbanzo beans,139.0,7.05,2.77,22.5,4.01,6.4,246.0,0.214,yes
can ginger ale,34.0,0.0,0.0,8.76,8.9,0.0,7.0,0.0,yes
can golden hominy,72.0,1.48,0.88,14.3,1.51,2.5,267.0,0.123,yes
can great northern beans,114.0,7.37,0.39,21.0,1.41,4.9,370.0,0.12,yes
can green chiles,21.0,0.72,0.27,4.6,0.0,1.7,397.0,0.028,yes
can green jackfruit and,95.0,1.72,0.64,23.2,19.1,1.5,2.0,0.195,yes
can hominy,72.0,1.48,0.88,14.3,1.51,2.5,267.0,0.123,yes
can italian-style stewed tomato,26.0,0.91,0.19,6.19,3.52,1.0,221.0,0.026,yes
can jackfruit in brine,95.0,1.72,0.64,23.2,19.1,1.5,2.0,0.195,yes
can kidney beans,84.0,5.22,0.6,14.5,1.85,4.3,296.0,0.141,yes
can less-sodium beef broth,6.0,1.14,0.07,0.2,0.2,0.0,225.0,0.042,yes
can light coconut milk,88.0,1.04,0.4,22.7,17.4,2.6,3.0,0.028,yes
can limeade concentrate,52.0,0.0,0.0,13.8,13.3,0.0,3.0,0.0,yes
can lite coconut milk,357.0,1.17,16.3,53.2,51.5,0.2,36.0,15.5,yes
can low sodium black beans,91.0,6.03,0.29,16.6,0.23,6.9,138.0,0.075,yes
can low-salt beef broth,16.0,2.0,0.6,1.2,0.13,0.0,30.0,0.179,yes
can low-sodium,16.0,2.0,0.6,1.2,0.13,0.0,30.0,0.179,yes
can low-sodium red beans,81.0,5.22,0.36,14.8,1.85,5.3,117.0,0.125,yes
can mexican-style stewed tomatoes with jalape o peppers and spices,26.0,0.91,0.19,6.19,3.52,1.0,221.0,0.026,yes
can navy beans,113.0,7.53,0.43,20.4,0.28,5.1,336.0,0.112,yes
can no salt-added whole kernel corn,64.0,1.95,0.5,15.4,0.0,0.7,12.0,0.077,yes
can no-salt-added pinto beans,105.0,4.8,0.4,20.5,7.78,5.5,1.0,0.103,yes
can no-salt-added tomatoes,17.0,0.85,0.29,3.53,2.58,0.4,253.0,0.019,yes
can no-salt-added whole tomatowell and coarsely,105.0,4.8,0.4,20.5,7.78,5.5,1.0,0.103,yes
can orange juice concentrate,47.0,0.68,0.15,11.0,8.76,0.3,4.0,0.018,yes
can percent reduced-fat evaporated milk,134.0,6.81,7.56,10.0,0.0,0.0,106.0,4.59,yes
can pickled jalape o chiles,22.0,0.8,0.4,4.56,1.6,2.6,1430.0,0.061,yes
can pineapple slicein juice,60.0,0.51,0.11,15.6,14.3,1.3,1.0,0.008,yes
can pinto beans,114.0,6.99,0.9,20.2,0.54,5.5,239.0,0.158,yes
can pumpkin,34.0,1.1,0.28,8.09,3.3,2.9,241.0,0.146,yes
can pumpkin puree,34.0,1.1,0.28,8.09,3.3,2.9,241.0,0.146,yes
can red beans or kidney beans,124.0,7.98,1.05,21.5,3.8,5.5,231.0,0.181,yes
can reduced-sodium chicken broth,16.0,2.0,0.6,1.2,0.13,0.0,30.0,0.179,yes
can refrigerated pizza dough,424.0,5.4,18.9,59.1,0.0,2.5,294.0,4.75,yes
can regular or lite coconut milk,15.0,1.8,0.18,2.48,0.0,1.0,284.0,0.044,yes
can solid white tuna in water,128.0,23.6,2.97,0.0,0.0,0.0,377.0,0.792,yes
can sweetened condensed milk,321.0,7.91,8.7,54.4,54.4,0.0,127.0,5.49,yes
can tomato,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can tomato juice,48.0,0.6,0.2,11.0,3.31,0.4,362.0,0.0,yes
can tomato paste,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can tomato puree,38.0,1.65,0.21,8.98,4.83,1.9,202.0,0.029,yes
can tomato sauce,24.0,1.2,0.3,5.31,3.56,1.5,474.0,0.041,yes
can tomatoes,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can tomatoes with basil,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can tomatowith green chile peppers,21.0,0.72,0.27,4.6,0.0,1.7,397.0,0.028,yes
can unsalted black beans,91.0,4.83,1.32,15.4,2.49,6.8,970.0,0.34,yes
can unsalted cannellini beans,103.0,6.12,3.76,13.2,1.65,3.3,423.0,1.13,yes
can unsalted chickpeas,139.0,7.05,2.77,22.5,4.01,6.4,246.0,0.214,yes
can unsalted crushed tomatoes,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can unsalted great northern beans,114.0,7.37,0.39,21.0,1.41,4.9,370.0,0.12,yes
can unsalted pinto beans,114.0,6.99,0.9,20.2,0.54,5.5,239.0,0.158,yes
can unsalted tomato,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can unsalted whole tomato,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can unsweetened pumpkin puree,34.0,1.1,0.28,8.09,3.3,2.9,241.0,0.146,yes
can vegetable broth,66.0,2.42,1.56,10.7,1.64,1.3,515.0,0.36,yes
can white hominy,72.0,1.48,0.88,14.3,1.51,2.5,267.0,0.123,yes
can white hominy or whole-kernel corn,72.0,1.48,0.88,14.3,1.51,2.5,267.0,0.123,yes
can whole canned tomatoes,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can whole green chiles,21.0,0.72,0.27,4.6,0.0,1.7,397.0,0.028,yes
can whole tomatoes,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
can whole-kernel corn,63.0,2.6,0.49,14.0,0.0,2.6,221.0,0.092,yes
canadian bacon,110.0,20.3,2.62,1.34,0.9,0.0,751.0,0.9,yes
candied ginger,80.0,1.82,0.75,17.8,1.7,2.0,13.0,0.203,yes
candied lemon peel,47.0,1.5,0.3,16.0,4.17,10.6,6.0,0.039,yes
candied orange peel,97.0,1.5,0.2,25.0,0.0,10.6,3.0,0.024,yes
candied yams,118.0,1.53,0.17,27.9,0.5,4.1,9.0,0.037,yes
candy corn,365.0,9.42,4.74,74.3,0.0,0.0,35.0,0.667,yes
cane sugar,269.0,0.0,0.0,73.1,73.2,0.0,58.0,0.0,yes
cane syrup,269.0,0.0,0.0,73.1,73.2,0.0,58.0,0.0,yes
cane vinegar,269.0,0.0,0.0,73.1,73.2,0.0,58.0,0.0,yes
canned adobo sauce,159.0,0.9,0.15,40.4,31.8,1.1,5.0,0.007,yes
canned anchovy fillets,210.0,28.9,9.71,0.0,0.0,0.0,3670.0,2.2,yes
canned anchovy fillets in oil,210.0,28.9,9.71,0.0,0.0,0.0,3670.0,2.2,yes
canned anchovy fillets in oils,210.0,28.9,9.71,0.0,0.0,0.0,3670.0,2.2,yes
canned artichoke hearts,28.0,2.52,0.62,4.62,0.0,2.4,426.0,0.13,yes
canned black beans,91.0,4.83,1.32,15.4,2.49,6.8,970.0,0.34,yes
canned cannellini beans,103.0,6.12,3.76,13.2,1.65,3.3,423.0,1.13,yes
canned chickpeas,139.0,7.05,2.77,22.5,4.01,6.4,246.0,0.214,yes
canned chipotle chile in adobo sauce,159.0,0.9,0.15,40.4,31.8,1.1,5.0,0.007,yes
canned chipotle chiles in adobo sauce,159.0,0.9,0.15,40.4,31.8,1.1,5.0,0.007,yes
canned crushed pineapple,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
canned crushed tomatoes,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
canned crushed tomatowith added pur e,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
canned fried onions,19.0,0.85,0.09,4.02,2.2,1.2,371.0,0.016,yes
canned green chiles,21.0,0.72,0.27,4.6,0.0,1.7,397.0,0.028,yes
canned light coconut milk,88.0,1.04,0.4,22.7,17.4,2.6,3.0,0.028,yes
canned organic chickpeas,139.0,7.05,2.77,22.5,4.01,6.4,246.0,0.214,yes
canned pumpkin,34.0,1.1,0.28,8.09,3.3,2.9,241.0,0.146,yes
canned pumpkinpuree,23.0,2.36,0.86,4.89,0.41,3.2,2350.0,0.233,yes
canned pumpkins,34.0,1.1,0.28,8.09,3.3,2.9,241.0,0.146,yes
canned tomatillos,32.0,0.96,1.02,5.84,3.93,1.9,1.0,0.139,yes
canned tomato sauce,24.0,1.2,0.3,5.31,3.56,1.5,474.0,0.041,yes
canned tomatowith chiles,23.0,2.36,0.86,4.89,0.41,3.2,2350.0,0.233,yes
canned unsalted black beans,91.0,4.83,1.32,15.4,2.49,6.8,970.0,0.34,yes
canned unsalted black-eyed peas,51.0,3.28,0.38,8.57,0.0,2.3,442.0,0.068,yes
canned unsalted chickpeas,139.0,7.05,2.77,22.5,4.01,6.4,246.0,0.214,yes
canned unsalted pinto bean,114.0,6.99,0.9,20.2,0.54,5.5,239.0,0.158,yes
canned unsweetened pumpkin,34.0,1.1,0.28,8.09,3.3,2.9,241.0,0.146,yes
canned water chestnut,53.0,0.4,0.1,14.0,11.8,2.2,1.0,0.02,yes
canned white hominy,72.0,1.48,0.88,14.3,1.51,2.5,267.0,0.123,yes
canned whole san marzano tomatoes,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
canned whole tomatoes,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
canned whole-berry cranberry sauce,158.0,0.75,0.05,40.4,31.3,1.2,5.0,0.007,yes
cannellini beans,47.0,1.8,3.2,2.8,0.0,0.1,2.0,1.17,yes
canola,884.0,0.0,100.0,0.0,0.0,0.0,0.0,7.36,yes
canola mayonnaise,884.0,0.0,100.0,0.0,0.0,0.0,0.0,7.36,yes
canola oil,884.0,0.0,100.0,0.0,0.0,0.0,0.0,7.36,yes
canola oil or any mild-tasting vegetable oil,884.0,0.0,100.0,0.0,0.0,0.0,0.0,7.36,yes
canola oil or peanut oil,884.0,0.0,100.0,0.0,0.0,0.0,0.0,7.36,yes
canola oil or vegetable oil,884.0,0.0,100.0,0.0,0.0,0.0,0.0,7.36,yes
canola oil spray,884.0,0.0,100.0,0.0,0.0,0.0,0.0,7.36,yes
canola oils,884.0,0.0,100.0,0.0,0.0,0.0,0.0,7.36,yes
canola or grapeseed oil,884.0,0.0,100.0,0.0,0.0,0.0,0.0,9.6,yes
canola or mild-tasting olive oil,884.0,0.0,100.0,0.0,0.0,0.0,0.0,7.36,yes
canola or other neutral oil,884.0,0.0,100.0,0.0,0.0,0.0,0.0,7.36,yes
canola or other neutral oils,884.0,0.0,100.0,0.0,0.0,0.0,0.0,7.36,yes
canola or peanut oil,884.0,0.0,100.0,0.0,0.0,0.0,0.0,7.36,yes
canola or safflower oil,884.0,0.0,100.0,0.0,0.0,0.0,0.0,7.54,yes
canola or vegetable oil,884.0,0.0,100.0,0.0,0.0,0.0,0.0,7.36,yes
cans black beans,91.0,4.83,1.32,15.4,2.49,6.8,970.0,0.34,yes
cans black eyed peas,51.0,3.28,0.38,8.57,0.0,2.3,442.0,0.068,yes
cans black-eyed peas,51.0,3.28,0.38,8.57,0.0,2.3,442.0,0.068,yes
cans cannellini beans,103.0,6.12,3.76,13.2,1.65,3.3,423.0,1.13,yes
cans cannellini beans or other white beans,114.0,7.26,0.29,21.2,0.29,4.8,340.0,0.074,yes
cans cans albacore tuna in water,90.0,19.0,0.94,0.08,0.0,0.0,219.0,0.224,yes
cans cans cannellini or other white beans,114.0,7.26,0.29,21.2,0.29,4.8,340.0,0.074,yes
cans cans chickpeas,23.0,2.36,0.86,4.89,0.41,3.2,2350.0,0.233,yes
cans cans fat-free,79.0,5.34,0.45,13.5,0.61,4.7,350.0,0.093,yes
cans cans fat-free evaporated milk,134.0,6.81,7.56,10.0,0.0,0.0,106.0,4.59,yes
cans cans great northern beans,114.0,7.37,0.39,21.0,1.41,4.9,370.0,0.12,yes
cans cans green chiles,21.0,0.72,0.27,4.6,0.0,1.7,397.0,0.028,yes
cans cans kidney beans,84.0,5.22,0.6,14.5,1.85,4.3,296.0,0.141,yes
cans cans no-salt-added tomato sauce,24.0,1.2,0.3,5.31,3.56,1.5,11.0,0.041,yes
cans cans organic chickpeas,23.0,2.36,0.86,4.89,0.41,3.2,2350.0,0.233,yes
cans cans organic vegetable broth,66.0,2.42,1.56,10.7,1.64,1.3,515.0,0.36,yes
cans cans pineapple juice,60.0,0.51,0.11,15.6,14.3,1.3,1.0,0.008,yes
cans cans pink or red skinless,129.0,19.7,4.97,0.0,0.0,0.0,403.0,0.862,yes
cans cans root beer,20.0,0.33,0.1,4.83,0.0,2.6,906.0,0.037,yes
cans cans solid white tuna in olive oils,186.0,26.5,8.08,0.0,0.0,0.0,396.0,1.28,yes
cans cans sweet potatoes,101.0,1.98,0.2,23.2,5.45,1.7,75.0,0.041,yes
cans cans tomatoes with onions and green peppers,41.0,0.94,0.74,8.77,7.36,1.4,368.0,0.133,yes
cans cans tomatoesand green chiles,21.0,0.72,0.27,4.6,0.0,1.7,397.0,0.028,yes
cans cans unsalted cannellini beans,103.0,6.12,3.76,13.2,1.65,3.3,423.0,1.13,yes
cans cans unsalted cannellini beansor other white beans,114.0,7.26,0.29,21.2,0.29,4.8,340.0,0.074,yes
cans cans unsalted navy beans or great northern beans,114.0,7.37,0.39,21.0,1.41,4.9,370.0,0.12,yes
cans cans unsalted tomatoes,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
cans cans vegetable broth,66.0,2.42,1.56,10.7,1.64,1.3,515.0,0.36,yes
cans chickpeas,139.0,7.05,2.77,22.5,4.01,6.4,246.0,0.214,yes
cans crushed tomatoes,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
cans dark red kidney beans,124.0,7.98,1.05,21.5,3.8,5.5,231.0,0.181,yes
cans fat-free,79.0,5.34,0.45,13.5,0.61,4.7,350.0,0.093,yes
cans fire-roasted tomatoes,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
cans ginger ale,34.0,0.0,0.0,8.76,8.9,0.0,7.0,0.0,yes
cans great northern beans,114.0,7.37,0.39,21.0,1.41,4.9,370.0,0.12,yes
cans jackfruit in brine,95.0,1.72,0.64,23.2,19.1,1.5,2.0,0.195,yes
cans kidney beans,84.0,5.22,0.6,14.5,1.85,4.3,296.0,0.141,yes
cans low-sodium chicken broth,16.0,2.0,0.6,1.2,0.13,0.0,30.0,0.179,yes
cans navy beans,113.0,7.53,0.43,20.4,0.28,5.1,336.0,0.112,yes
cans pineapple juice,60.0,0.51,0.11,15.6,14.3,1.3,1.0,0.008,yes
cans pinto beans,114.0,6.99,0.9,20.2,0.54,5.5,239.0,0.158,yes
cans tomato paste,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
cans tomato sauce,24.0,1.2,0.3,5.31,3.56,1.5,474.0,0.041,yes
cans tomatoes,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
cans unsalted black-eyed peas,51.0,3.28,0.38,8.57,0.0,2.3,442.0,0.068,yes
cans unsalted cannellini beans,103.0,6.12,3.76,13.2,1.65,3.3,423.0,1.13,yes
cans unsalted chickpeas,139.0,7.05,2.77,22.5,4.01,6.4,246.0,0.214,yes
cans unsalted pinto beans,114.0,6.99,0.9,20.2,0.54,5.5,239.0,0.158,yes
cans unsweetened coconut cream or coconut milk,357.0,1.17,16.3,53.2,51.5,0.2,36.0,15.5,yes
cans unsweetened coconut milk,47.0,0.68,0.15,11.0,8.76,0.3,4.0,0.018,yes
cans unsweetened pumpkin puree,34.0,1.1,0.28,8.09,3.3,2.9,241.0,0.146,yes
cans white hominy,72.0,1.48,0.88,14.3,1.51,2.5,267.0,0.123,yes
cans whole tomatoes,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
cans whole tomatoes in juice,48.0,0.6,0.2,11.0,3.31,0.4,362.0,0.0,yes
cantaloupe,34.0,0.84,0.19,8.16,7.86,0.9,16.0,0.051,yes
caper brine,23.0,2.36,0.86,4.89,0.41,3.2,2350.0,0.233,yes
capers,23.0,2.36,0.86,4.89,0.41,3.2,2350.0,0.233,yes
capers plus caper brine,23.0,2.36,0.86,4.89,0.41,3.2,2350.0,0.233,yes
cara cara or navel oranges,49.0,0.91,0.15,12.5,8.5,2.2,1.0,0.017,yes
cara cara orange juice,45.0,0.6,0.3,10.2,8.26,0.1,0.0,0.035,yes
caramel filling,382.0,4.6,8.1,77.0,65.5,0.0,245.0,2.48,yes
caramel glaze,500.0,8.28,35.7,47.6,32.1,3.6,446.0,3.57,yes
caramel-whiskey sauce,164.0,0.1,0.02,15.8,15.8,0.0,47.0,0.003,yes
caraway,376.0,25.2,29.2,3.06,0.0,0.0,690.0,18.6,yes
caraway seeds,333.0,19.8,14.6,49.9,0.64,38.0,17.0,0.62,yes
cardamom,311.0,10.8,6.7,68.5,0.0,28.0,18.0,0.68,yes
cardamom powder,311.0,10.8,6.7,68.5,0.0,28.0,18.0,0.68,yes
carr s whole wheat crackers,427.0,10.6,14.1,69.6,1.19,10.3,800.0,2.06,yes
carrot,341.0,8.1,1.49,79.6,38.8,23.6,275.0,0.256,yes
carrot noodles,341.0,8.1,1.49,79.6,38.8,23.6,275.0,0.256,yes
carrot sticks,341.0,8.1,1.49,79.6,38.8,23.6,275.0,0.256,yes
carrothalved lenthwise and thinly,309.0,16.5,27.0,0.0,0.0,0.0,68.0,11.5,yes
carrots,341.0,8.1,1.49,79.6,38.8,23.6,275.0,0.256,yes
carrots and into chunky half moons,131.0,3.13,11.5,4.3,4.13,0.0,61.0,7.03,yes
carrots cut into -inch chunks,341.0,8.1,1.49,79.6,38.8,23.6,275.0,0.256,yes
carrots cut into matchsticks,341.0,8.1,1.49,79.6,38.8,23.6,275.0,0.256,yes
carrots in inch chunks,341.0,8.1,1.49,79.6,38.8,23.6,275.0,0.256,yes
carrots with greens attached,341.0,8.1,1.49,79.6,38.8,23.6,275.0,0.256,yes
carrotstop leaves,23.0,2.46,0.33,4.02,0.0,0.0,20.0,0.091,yes
carton egg substitute,444.0,55.5,13.0,21.8,21.8,0.0,800.0,3.77,yes
carton low-fat cottage cheese,208.0,7.85,16.7,6.73,3.3,0.0,317.0,10.0,yes
carton strained tomato,61.0,2.36,1.47,9.45,2.09,1.2,38.0,0.486,yes
cashew butter,609.0,12.1,53.0,30.3,9.09,3.0,295.0,10.6,yes
cashew dip,553.0,18.2,43.8,30.2,5.91,3.3,12.0,7.78,yes
cashew nuts,553.0,18.2,43.8,30.2,5.91,3.3,12.0,7.78,yes
cashew ranch dressing,430.0,1.32,44.5,5.9,4.69,0.0,901.0,6.96,yes
cashew whip,731.0,0.49,78.3,0.0,0.06,0.0,583.0,45.4,yes
cashews,553.0,18.2,43.8,30.2,5.91,3.3,12.0,7.78,yes
castelvetrano olives,235.0,11.8,16.5,9.2,0.0,0.0,964.0,5.85,yes
caster sugar,380.0,0.12,0.0,98.1,97.0,0.0,28.0,0.0,yes
cauliflower,25.0,1.92,0.28,4.97,1.91,2.0,30.0,0.13,yes
cauliflower and leek puree,61.0,1.5,0.3,14.2,3.9,1.8,20.0,0.04,yes
cauliflower florets,25.0,1.92,0.28,4.97,1.91,2.0,30.0,0.13,yes
cavatappi,206.0,19.0,11.0,7.8,2.89,0.9,467.0,3.52,yes
cavatappi pasta,206.0,19.0,11.0,7.8,2.89,0.9,467.0,3.52,yes
cayenne,318.0,12.0,17.3,56.6,10.3,27.2,30.0,3.26,yes
cayenne pepper,318.0,12.0,17.3,56.6,10.3,27.2,30.0,3.26,yes
cayenne powder,318.0,12.0,17.3,56.6,10.3,27.2,30.0,3.26,yes
cedar grilling plank,29.0,3.28,0.58,4.44,2.26,2.2,11.0,0.064,yes
celery,14.0,0.69,0.17,2.97,1.34,1.6,80.0,0.042,yes
celery and parsley salad,36.0,2.97,0.79,6.33,0.85,3.3,56.0,0.132,yes
celery rib,14.0,0.69,0.17,2.97,1.34,1.6,80.0,0.042,yes
celery ribs,14.0,0.69,0.17,2.97,1.34,1.6,80.0,0.042,yes
celery root,14.0,0.69,0.17,2.97,1.34,1.6,80.0,0.042,yes
celery roots,14.0,0.69,0.17,2.97,1.34,1.6,80.0,0.042,yes
celery seeds,392.0,18.1,25.3,41.4,0.67,11.8,160.0,2.19,yes
celery stalk,28.0,2.98,0.35,5.24,0.0,0.0,27.0,0.054,yes
celery stalks,28.0,2.98,0.35,5.24,0.0,0.0,27.0,0.054,yes
celery stalks with leaves,28.0,2.98,0.35,5.24,0.0,0.0,27.0,0.054,yes
celery stalkschopped,14.0,0.69,0.17,2.97,1.34,1.6,80.0,0.042,yes
celery stalksroughly,14.0,0.69,0.17,2.97,1.34,1.6,80.0,0.042,yes
celery sticks,14.0,0.69,0.17,2.97,1.34,1.6,80.0,0.042,yes
cellophane noodles,351.0,0.16,0.06,86.1,0.0,0.5,10.0,0.017,yes
celtic sea salt,717.0,0.85,81.1,0.06,0.06,0.0,643.0,51.4,yes
center-cut bacon slices,167.0,18.7,9.62,0.84,0.28,0.0,378.0,3.6,yes
center-cut baconslices,167.0,18.7,9.62,0.84,0.28,0.0,378.0,3.6,yes
center-cut boneless pork cutlets,167.0,18.7,9.62,0.84,0.28,0.0,378.0,3.6,yes
center-cut boneless pork loinchops,167.0,18.7,9.62,0.84,0.28,0.0,378.0,3.6,yes
center-cut salmonfillet,167.0,18.7,9.62,0.84,0.28,0.0,378.0,3.6,yes
center-cut salmonfillets,167.0,18.7,9.62,0.84,0.28,0.0,378.0,3.6,yes
center-cut skin-on salmon fillets,209.0,23.2,13.0,0.0,0.0,0.0,870.0,2.44,yes
chai blend tea bags,53.0,2.47,1.44,7.82,5.76,0.0,41.0,0.206,yes
champagne mango,60.0,0.82,0.38,15.0,13.7,1.6,1.0,0.092,yes
champagne or white wine vinegar,19.0,0.04,0.0,0.27,0.0,0.0,8.0,0.0,yes
