food_name,cal_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,sugar_per_100g,fiber_per_100g,sodium_per_100g,satfat_per_100g,matched
- firm tofu,85.0,10.9,4.19,0.97,0.4,0.9,33.0,0.71,yes
- garlic cloves,274.0,5.97,13.0,65.5,2.38,33.9,277.0,3.95,yes
- gluten-free tamari,541.0,4.06,30.4,62.8,41.0,1.6,122.0,15.3,yes
- grated beets,43.0,1.61,0.17,9.56,6.76,2.8,78.0,0.027,yes
- grated carrots,420.0,28.4,27.8,13.9,0.07,0.0,1800.0,15.4,yes
- grated lemon zest,420.0,28.4,27.8,13.9,0.07,0.0,1800.0,15.4,yes
- halibut filets,186.0,14.4,13.8,0.0,0.0,0.0,80.0,2.42,yes
- head cauliflower,25.0,1.92,0.28,4.97,1.91,2.0,30.0,0.13,yes
- heavy cream,340.0,2.84,36.1,2.84,2.92,0.0,27.0,23.0,yes
- herbs thyme or rosemary or combination of both,1.0,0.0,0.0,0.2,0.0,0.0,132.0,0.0,yes
- hot smoked paprika or chipotle chili powder,282.0,13.5,14.3,49.7,7.19,34.8,2870.0,2.46,yes
- ice cubes,170.0,17.3,4.0,16.1,14.5,0.0,24000.0,1.99,yes
- ice-cold water,884.0,0.11,100.0,0.0,0.0,0.0,0.0,8.98,yes
- icing sugar,503.0,4.1,23.5,68.8,33.8,1.9,301.0,14.8,yes
- instant rise yeast,185.0,23.9,0.9,20.4,1.6,6.5,3380.0,0.0,yes
- jar sun-dried tomatoes in oil,213.0,5.06,14.1,23.3,0.0,5.8,266.0,1.89,yes
- jar tomato sauce,32.0,1.32,0.39,7.09,0.0,1.4,15.0,0.055,yes
- kabocha squash,24.0,0.81,0.2,5.73,3.24,0.9,5.0,0.02,yes
- kosher salt,12.0,0.5,0.3,2.41,1.07,1.0,809.0,0.079,yes
- lemon juice,22.0,0.35,0.24,6.9,2.52,0.3,1.0,0.04,yes
- low-sodium chicken broth,16.0,2.0,0.6,1.2,0.13,0.0,30.0,0.179,yes
- mayo,334.0,0.6,32.9,8.5,4.2,0.1,633.0,5.0,yes
- medjool dates,282.0,2.45,0.39,75.0,63.4,8.0,2.0,0.032,yes
- napa cabbageor - chinese cabbage,13.0,1.5,0.2,2.18,1.18,1.0,65.0,0.027,yes
- natural cane sugar,269.0,0.0,0.0,73.1,73.2,0.0,58.0,0.0,yes
- of pink himalayan salt or,149.0,9.06,0.49,27.9,0.36,5.3,238.0,0.126,yes
- olive oil,884.0,0.0,100.0,0.0,0.0,0.0,0.0,14.4,yes
- olive oil or butter,884.0,0.0,100.0,0.0,0.0,0.0,0.0,14.4,yes
- package dried soba noodles,99.0,5.06,0.1,21.4,0.0,0.0,60.0,0.019,yes
